Gene Name,Balaton consensus calls,,Carrel hybrids,Carrel SNPs,Cotton AI,Cotton DNAm,,Transcript Start,Transcript Stop,Transcript Type,CTAG gene,Expression in GM12878,Expression in IMR90,Expressed in Either Tissue,Domain categories,Results from other literature,Lister mCH,Sex differences in expression,Y homology,alternate gene names,Related Diseases,Comments
FTHL17,No call,,,,,,,31089357,31090170,mRNA,yes,0,0,Neither,S,,,,,,,
DMD,S,,0.11,,S,all F S or S+U,,31137344,33357726,mRNA,No,0.013475396,0.04061885,Neither,S,,,,Y pseudogene,"Hs.177986, AA461044","DMD, BMD, CMD3B",
Mir_584,No call,,,,,,,31356817,31356938,miRNA,No,0.21285607,0,Lymphoblast only,S,,,,,,,
U6,No call,,,,,,,31366308,31366414,snrna,No,0,0.2476316,Fibroblast Only,S,,,,,,,
JA202363,No call,,,,,,,31697634,31697665,ncRNA,No,0,0,Neither,S,,,,,,,
JA202352,No call,,,,,,,31792219,31792244,ncRNA,No,0,4.952632,Fibroblast Only,S,,,,,,,
JA202350,No call,,,,,,,31950207,31950238,ncRNA,No,0,0.8048027,Fibroblast Only,S,,,,,,,
JA202335,No call,,,,,,,32583973,32584010,ncRNA,No,0,5.4218287,Fibroblast Only,S,,,,,,,
FAM47A,No call,,,,,,,34147868,34150447,mRNA,No,0,0,Neither,S,,,,,,,
TMEM47,S,,0,,,too much U,,34645180,34675405,mRNA,No,0.000302813,3.5564046,Fibroblast Only,S,,S,,,TM4SF10 ,,
FAM47B,No call,,,,,,,34960912,34963034,mRNA,No,0,0.024261598,Neither,S,,,,,,,
MAGEB16,No call,,,,,,,35816458,35821852,mRNA,yes,0,0,Neither,S,,,,Y pseudogene,,,
CXorf22,No call,,,,,too much U,,35937850,36008269,mRNA,No,0.001429721,0.002925724,Neither,S,,,,,,,
CXorf59,No call,,,,,,,36065052,36163187,mRNA,No,0.000652866,0.000524857,Neither,S,,,,Y pseudogene,,,
CXorf30,No call,,,,,,,36254050,36403434,mRNA,No,0.01151875,0.002068777,Neither,S,,,,,,,
FAM47C,No call,,,,,,,37026431,37029739,mRNA,No,0,0,Neither,S,,,,,,,
PRRG1,Mostly S,,0,S,,S or S+U and VE and U,,37208527,37316548,mRNA,No,0.001101503,0.42294198,Fibroblast Only,S,,S,,,None,,
LANCL3,Mostly S,,0.11,,E,all F S or S+U,,37430821,37536750,mRNA,No,0.001036852,0.00048624,Neither,S,,,,Y pseudogene,FLJ42925,,
BC132858,No call,,,,,,,37478968,37480588,ncRNA,No,0,0,Neither,S,,,,,,,
XK,S,,,,,all F S,,37545132,37591383,mRNA,No,0.00830779,0.008908998,Neither,S,,,,Y pseudogene,,MCLDS,
CYBB,S,,,,S,,,37639269,37672714,mRNA,No,7.380046,0,Lymphoblast only,S,,,,Y pseudogene,,"CGD, IMD34",
DYNLT3,S,,0,S,S,all F S or S+U,,37698088,37706889,mRNA,No,0.7653339,4.2483926,Both,S,,S,,,TCTE1L,,
CXorf27,No call,,,,,,,37850069,37850570,mRNA,No,0,0,Neither,S,,,,,,,
SYTL5,S,,0,,,,,37865834,37988073,mRNA,No,0.000673882,0.030970156,Neither,S,,S,,Y pseudogene,None,,
SRPX,S,,0,S,,all F S or S+U,,38008587,38080177,mRNA,No,0.002429124,1.016607,Fibroblast Only,S,,S,,,ETX1,,
RPGR,S,,0,,S,S or S+U and VE and U,,38128422,38186788,mRNA,No,0.25560817,0.3415175,Both,S,,S,,,RP3,"RP3, CORDX1. Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness. Macular degeneration, X-linked atrophic.",
OTC,S,,0,,,,,38211735,38280703,mRNA,No,0.001327091,0.000746819,Neither,S,,S,,,None,OTCD,
TSPAN7,Mostly S,,0.11,S,VE,all F S or S+U,,38420730,38548172,mRNA,No,0.001436377,0.002627041,Neither,S,S,,,,TM4SF2 ,MRX58,
MID1IP1,S,,0,,,all F S or S+U,,38660684,38665783,mRNA,No,8.562365,12.947539,Both,S,,S,,,MIG12 ,,
LOC286442,No call,,,,,,,39164209,39186616,ncRNA,No,0.004493079,0.002298615,Neither,S,,,,,,,
AK123758,No call,,,,,,,39868528,39871435,ncRNA,No,0,0,Neither,S,,,,,,,
BCOR,Mostly S,,0.22,,S,E or E+U and VE,,39910498,40036582,mRNA,No,0.6261819,0.5743694,Both,S,,,,Y pseudogene,FLJ43479 ,"MCOPS2, MCOPS1",
DQ596633,No call,,,,,,,40217979,40218014,piRNA,No,0,0,Neither,S,,,,,,,
DQ594696,No call,,,,,,,40218597,40218633,piRNA,No,0,0,Neither,S,,,,,,,
DQ574810,No call,,,,,,,40219039,40219066,piRNA,No,0,0,Neither,S,,,,,,,
DQ579129,No call,,,,,,,40219847,40219877,piRNA,No,0,0,Neither,S,,,,,,,
ATP6AP2,Mostly S,,0.11,,S,S or S+U and VE and U,,40440215,40465888,mRNA,No,2.0292046,3.1587737,Both,S,,,,Y pseudogene,M8-9 ,"MRXSH, XPDS",
LOC347411,E,,1,,,,,40482817,40483388,mRNA,No,0.016001418,0.045023926,Neither,E,,,,,Hs.128084 ,,
CXorf38,E,,0.89,,E,all F E or E+U,,40486172,40506819,mRNA,No,2.082965,2.561898,Both,E,,E,,,MGC39350 ,,
MED14,VE,,,,VE,,,40508794,40595136,mRNA,No,1.0998044,2.1761913,Both,E,,E,,Y pseudogene,,,
BC039399,No call,,,,,,,40594651,40597946,mRNA,No,0.43875733,0.82824355,Both,E,,,,,,,
AK056524,No call,,,,,,,40671202,40704710,ncRNA,No,0.08795264,0.0637905,Neither,E,,,,,,,
LOC100132831,No call,,,,,,,40690469,40692449,ncRNA,No,1.2659618,0,Lymphoblast only,E,,,,,,,
Mir_584,No call,,,,,,,40715000,40715119,miRNA,No,0.21285607,0,Lymphoblast only,E,,,,,,,
USP9X,Mostly E,,1,,VE,all F E or E+U,,40944887,41095832,mRNA,No,1.6852047,1.7416402,Both,E,E,E,,Y homolog,"DFFRX, Hs.282780, Hs.86849, Hs.229338",MRX99,
5S_rRNA,No call,,,,,,,41152050,41152169,rRNA,No,0,0.21461405,Fibroblast Only,E,,,,,,,
DDX3X,E,,1,,E,all F E or E+U,,41192650,41223725,mRNA,No,11.378573,5.6735015,Both,E,,E,,Y homolog,DBX ,,
NYX,S,,,,S,,,41306712,41334905,mRNA,No,0.010388379,0.005480674,Neither,S,,,,Y pseudogene,,CSNB1A,
CASK,S,,0,,S,all F S or S+U,,41374188,41782287,mRNA,No,0.06548936,0.23639625,Fibroblast Only,S,,S,,Y pseudogene,,"FGS4, MICPCH",
GPR34,S,,0,S,,,,41548225,41556530,mRNA,No,0.30854648,0.037207346,Lymphoblast only,S,,S,,Y pseudogene,None,,
GPR82,No call,,,,,,,41583407,41589388,mRNA,No,0.29071113,0.03874677,Lymphoblast only,S,,,,,,,
U6,No call,,,,,,,41778506,41778602,snRNA,No,0,0.2476316,Fibroblast Only,S,,,,,,,
PPP1R2P9,No call,,,,,,,42636616,42637486,ncRNA,No,0,0.029567951,Neither,S,,,,,,,
DD413549,No call,,,,,,,42729652,42729672,ncRNA,No,0,0,Neither,S,,,,,,,
AK056105,No call,,,,,,,43036242,43085847,ncRNA,No,0.04520499,0.004153318,Neither,S,,,,,,,
DQ570500,No call,,,,,,,43137548,43137585,piRNA,No,0.24086344,0,Lymphoblast only,S,,,,,,,
MAOA,Mostly S,,1,S,,all F S or S+U,,43515408,43606068,mRNA,No,0.001615303,0.017612077,Neither,S,S,E,,,None,Monoamine oxidase A deficiency,
MAOB,S,,,,S,too much U,,43625856,43741721,mRNA,No,0.001105927,0.036897037,Neither,S,,,,Y pseudogene,,,
NDP,No call,,,,,,,43808023,43832921,mRNA,No,0,0.04861333,Neither,Boundary,,,,,,"ND, EVR2",
EFHC2,Discordant,,,,VE,all F E or E+U,,44007127,44202923,mRNA,No,0.046933416,0.024070464,Neither,Boundary,,E,,,,,
Y_RNA,No call,,,,,,,44260848,44260950,ncRNA,No,0,0,Neither,Boundary,,,,,,,
FUNDC1,E,,0.89,,E,all F E or E+U,,44382884,44402221,mRNA,No,0.38053885,1.1359962,Both,E,,,,Y pseudogene,None,,
DUSP21,No call,,,,,,,44703248,44704134,mRNA,No,0,0,Neither,E,,,,,,,
KDM6A,Mostly E,,1,E,VE,all F E,,44732422,44971845,mRNA,No,0.43087298,0.4510208,Both,E,E,E,Female Bias,Y homolog,UTX ,"KABUK1, KABUK2",
CXorf36,S,,,,S,,,45007617,45060146,mRNA,No,0.001742397,0.002451331,Neither,S,E,,,,,,
AK127697,No call,,,,,,,45364632,45386484,ncRNA,No,0.001256506,0.13199162,Fibroblast Only,S,,,,,,,
MIR221,No call,,,,,,,45605584,45605694,miRNA,No,1.0719508,48.72319,Both,S,,,,,,,
MIR222,No call,,,,,,,45606420,45606530,miRNA,No,0,5.1043344,Fibroblast Only,S,,,,,,,
AK098783,Mostly S,,,,,S or S+U and VE and U,,45707326,45710447,ncRNA,No,0.005863428,0.4949459,Fibroblast Only,S,,,,,,,
BC015977,No call,,,,,,,46185713,46187080,mRNA,No,0.026762605,0,Neither,S,,,,,,,
ZNF673,S,,0,,S,all F S or S+U,,46306623,46334074,mRNA,No,0.77584845,1.9907228,Both,S,,S,,Y pseudogene,FLJ20344 ,,
AX747333,No call,,,,,,,46319732,46321944,mRNA,No,0.17370902,0.32584873,Both,S,,,,,,,
ZNF674,S,,,,S,all F S or S+U,,46357159,46404892,mRNA,No,0.22357602,0.37443036,Both,S,,,,,,MRX92,
LOC401588,S,,,,,all F S,,46404927,46407670,ncRNA,No,1.6110815,6.410265,Both,S,,,,,,,
CHST7,S,,0,S,S,all F S or S+U,,46433191,46457838,mRNA,No,0.79652625,0.9142517,Both,S,,S,,Y pseudogene,None,,
SLC9A7,S,,0.11,,S,all F S or S+U,,46466372,46618472,mRNA,No,0.82579356,0.49712247,Both,S,,,,,"NHE7, FLJ39602, ZC35F11",,
Mir_548,No call,,,,,,,46565633,46565717,miRNA,No,0,0,Neither,S,,,,,,,
RP2,S,,0,,,all F S or S+U,,46696346,46741791,mRNA,No,0.29303658,1.0109707,Both,S,,S,,,None,RP2,
PHF16,Mostly S,,0,S,VE,all F S or S+U,,46771735,46920641,mRNA,No,0.09140088,0.17675641,Fibroblast Only,S,,S,,,None,,
RGN,S,,0.11,,,,,46937774,46952712,mRNA,No,0.00551411,0.17239231,Fibroblast Only,S,,,,Y pseudogene,None,,
NDUFB11,S,,0,,,all F S or S+U,,47001614,47004609,mRNA,No,17.007242,7.2980237,Both,S,,S,,,P17.3 ,,
RBM10,S,,0,,S,all F S or S+U,,47004616,47046214,mRNA,No,2.1423814,3.3585842,Both,S,S,S,,,DXS8237E,TARPS,
UBA1,E,,1,E,E,all F E,,47050198,47074527,mRNA,No,18.50237,10.030495,Both,E,E,E,Female Bias,,"UBE1, A1S9, A1ST, GXP1, UBE1, A1S9T, AMCX1, POC20, SMAX2, UBA1A, UBE1X",SMAX2,
INE1,E,,1,,,,,47064246,47065254,ncRNA,No,6.1411824,6.049181,Both,E,E,,Female Bias,,None,,
CDK16,Mostly E,,1,,VE,E or E+U and VE and U,,47077527,47089394,mRNA,No,5.302121,10.639563,Both,E,E,E,,Y pseudogene,PCTK1 ,,
USP11,Discordant,,0.44,,S,too much U,,47092313,47107727,mRNA,No,4.751268,7.406169,Both,Boundary,E,E,,Y pseudogene,UHX ,,
ZNF157,Discordant,,0,,E,,,47229998,47273098,mRNA,No,0.011042578,0.001792558,Neither,Boundary,S,S,,,None,,
SNORA11C,No call,,,,,,,47248048,47248175,snoRNA,No,0,0,Neither,Boundary,,,,,,,
ZNF41,S,,0,S,S,all F S or S+U,,47305560,47342610,mRNA,No,0.678599,0.80908185,Both,S,,S,,Y pseudogene,None,,
ARAF,S,,0,,S,all F S or S+U,,47420515,47431320,mRNA,No,6.900606,8.913454,Both,S,S,S,,,"ARAF1, PKS2, A-RAF, RAFA1",,
SYN1,Mostly S,,0,,VE,all F S,,47431299,47479256,mRNA,No,1.1758302,1.4810598,Both,S,,S,,Y pseudogene,None,"Epilepsy, X-linked, with variable learning disabilities and behavior disorders",
TIMP1,VE,,0.33,,,too much U,,47441689,47446190,mRNA,No,11.956393,14.598713,Both,S,S,,,,None,,
MIR4769,No call,,,,,,,47446827,47446904,miRNA,No,0,0,Neither,S,,,,,,,
CFP,S,,0,,S,,,47483611,47489704,mRNA,No,1.8729168,0.23666006,Both,S,,S,,,PFC ,CFPD,
ELK1,S,,0,,S,all F S,,47494919,47510003,mRNA,No,4.253918,4.33297,Both,S,S,S,,,None,,
UXT,S,,0,,S,all F S,,47511190,47518579,mRNA,No,6.8491263,5.952273,Both,S,,S,,,None,,
LOC100133957,No call,,,,,too much U,,47518231,47519776,ncRNA,No,5.671664,3.5648699,Both,S,,,,,,,
CXXC1P1,No call,,,,,,,47566589,47596027,ncRNA,No,0.001243631,0,Neither,S,,,,,,,
LOC441493,Mostly S,,,,,S or S+U and VE,,47693820,47696192,mRNA,No,0.092569515,0.021705594,Neither,S,,,,,,,
ZNF81,Mostly S,,0,,S,S or S+U and VE and U,,47696300,47781655,mRNA,No,0.2398758,0.2631006,Both,S,,S,,Y pseudogene,None,MRX45,
ZNF182,S,,,,S,all F S or S+U,,47834249,47863394,mRNA,No,0.8774087,0.6794958,Both,S,,S,,,,,
ZNF630,Mostly S,,,,S,S or S+U and VE,,47842684,47931001,mRNA,No,0.21089666,0.10643465,Both,S,,,,Y pseudogene,,,
SPACA5,Mostly S,,,,,S or S+U and VE,,47863733,47869128,mRNA,No,0.025443321,0,Neither,S,,E,,,,,
LOC100509575,No call,,,,,,,47967366,47980068,mRNA,No,0.002882094,0.008109482,Neither,S,,,,,,,
SPACA5,No call,,,,,,,47986602,47991997,mRNA,No,0.025443321,0,Neither,S,,,,,,,
SSX5,No call,,,,,,,48045655,48056199,mRNA,yes,0.002603929,0,Neither,S,,,,,,,
SSX1,No call,,,,,,,48114796,48126879,mRNA,yes,0.000757432,0,Neither,S,,,,,,Synovial Sarcoma,
SSX9,No call,,,,,,,48159066,48164284,mRNA,yes,0,0.004934602,Neither,S,,,,,,,
SSX3,No call,,,,,,,48205862,48216142,mRNA,yes,0.002670794,0,Neither,S,,,,,,,
SSX4,No call,,,,,,,48242967,48252785,mRNA,yes,0,0,Neither,S,,,,,,,
SSX4B,No call,,,,,,,48261523,48271344,mRNA,yes,0,0,Neither,S,,,,,,,
SLC38A5,S,,0.11,,S,,,48316926,48328644,mRNA,No,5.753798,4.505082,Both,S,,,,,None,,
FTSJ1,S,,0,,S,all F S or S+U,,48334548,48344752,mRNA,No,4.8279843,8.269949,Both,S,,S,,Y pseudogene,JM23 ,MRX9,
PORCN,Mostly S,,0,,VE,all F S or S+U,,48367370,48379202,mRNA,No,1.2190341,3.2385266,Both,S,,S,,,None,FDH,
EBP,Mostly S,,0,S,,S or S+U and VE and U,,48380163,48387104,mRNA,No,6.349746,4.4443846,Both,S,S,S,,,None,CDPX2,
TBC1D25,S,,0,S,S,all F S,,48398074,48420997,mRNA,No,1.993144,2.6007583,Both,S,,S,,Y pseudogene,OATL1 ,,
RBM3,S,,0,S,,all F S or S+U,,48432740,48439553,mRNA,No,35.719334,19.846289,Both,S,,S,,,"RNPL, Hs.432724, IS4",,
WDR13,S,,0,S,S,all F S or S+U,,48455879,48463582,mRNA,No,5.3676534,9.958493,Both,S,,S,,,None,,
WAS,VE,,0.44,,,,,48542185,48549817,mRNA,No,11.293223,0.11134176,Both,S,,,,Y pseudogene,None,"WAS, SCNX, THC1",
SUV39H1,S,,0,S,,all F S or S+U,,48553944,48567406,mRNA,No,1.9212542,2.9344244,Both,S,,S,,,None,,
GLOD5,No call,,,,,,,48620153,48632064,mRNA,No,0.006146952,0,Neither,S,,,,,,,
GATA1,S,,0.11,,,,,48644981,48652717,mRNA,No,0.13131215,0.016643198,Lymphoblast only,S,,,,Y pseudogene,None,Cancer in Downs syndrome patients,
HDAC6,Mostly S,,0,,S,S or S+U and VE and U,,48660286,48683380,mRNA,No,2.6917467,4.598753,Both,S,,S,,,JM21 ,"Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia",
ERAS,No call,,,,,,,48687282,48688548,mRNA,No,0.043344013,0,Neither,S,,,,,,,
PCSK1N,S,,0,,,all F S,,48689505,48693960,mRNA,No,0.006162126,0.092472844,Neither,S,,S,,,None,,
TIMM17B,Mostly S,,0,S,,S or S+U and VE and U,,48750729,48755426,mRNA,No,4.414702,8.496853,Both,S,,S,,,JM3 ,,
PQBP1,Mostly S,,0,,VE,all F S,,48755774,48760422,mRNA,No,6.912351,8.475616,Both,S,,S,,Y pseudogene,JM26 ,RENS1,
SLC35A2,S,,0,,,all F S or S+U,,48760889,48769235,mRNA,No,2.785209,7.886237,Both,S,,S,,Y pseudogene,UGT2 ,CDG2M,
PIM2,S,,0,,S,all F S or S+U,,48770458,48776413,mRNA,No,65.29292,4.981237,Both,S,,S,,,None,,
OTUD5,S,,0,,S,all F S or S+U,,48779302,48815648,mRNA,No,3.3866937,2.8384535,Both,S,,S,,,"DKFZp761A052, Hs.443531",,
U6,No call,,,,,,,48816439,48816543,snRNA,No,0,0.2476316,Fibroblast Only,S,,,,,,,
KCND1,Mostly S,,0.11,,,S or S+U and VE,,48818638,48828251,mRNA,No,0.53599256,1.7787027,Both,S,,,,Y pseudogene,None,,
GRIPAP1,S,,0.11,,S,all F S or S+U,,48830133,48858675,mRNA,No,3.549468,3.9600928,Both,S,,E,,Y pseudogene,None,,
TFE3,Mostly S,,0,,,S or S+U and VE,,48886241,48900990,mRNA,No,1.8485947,7.605631,Both,S,,,,,None,RCCX1,
CCDC120,S,,0,,,too much U,,48911100,48927510,mRNA,No,0.68990475,1.3527316,Both,S,,S,,Y pseudogene,JM11 ,,
PRAF2,S,,0,,,all F S,,48928817,48937564,mRNA,No,4.3734283,12.494129,Both,S,,S,,,JM4 ,,
WDR45,S,,0,,,all F S or S+U,,48932091,48958059,mRNA,No,1.3294468,2.887856,Both,S,,S,,,WDRX1 ,"BPAN, NBIA5",
GPKOW,Mostly S,,0,,S,S or S+U and VE and U,,48969021,48980079,mRNA,No,1.469879,4.5829873,Both,S,,S,,,T54 ,,
MAGIX,Mostly S,,0.11,,S,S or S+U and VE,,49019180,49023836,mRNA,No,0.24567348,0.5253597,Both,S,,,,,FLJ21687 ,,
PLP2,S,,0,,S,all F S,,49028183,49031468,mRNA,No,17.144112,12.641721,Both,S,,S,,,None,,
PRICKLE3,S,,0,,S,,,49031905,49042776,mRNA,No,1.9026263,2.2859,Both,S,,S,,,LMO6 ,,
SYP,S,,0.22,,S,all F S,,49044264,49056661,mRNA,No,0.23476318,0.05193113,Lymphoblast only,S,,E,,,None,MRX96,
CACNA1F,S,,0,,S,,,49061522,49089833,mRNA,No,0.060777355,0.011825301,Neither,S,,S,,Y pseudogene,None,"CSNB2A, AIED, CORDX3",
CCDC22,S,,0,,S,all F S or S+U,,49091926,49106987,mRNA,No,1.912963,3.4128506,Both,S,,S,,Y pseudogene,JM1 ,,
FOXP3,S,,0,,S,,,49106896,49121288,mRNA,No,0.29570326,0.103780575,Both,S,,S,,Y pseudogene,JM2 ,"IDDM1, IPEX",
PPP1R3F,S,,0,,S,all F S or S+U,,49126305,49144555,mRNA,No,1.0441155,1.08089,Both,S,,S,,Y pseudogene,None,,
GAGE10,No call,,,,,,,49160124,49176311,mRNA,yes,0.014700586,0.020681858,Neither,S,,,,,,,
GAGE4,No call,,,,,,,49178515,49223953,mRNA,yes,0,0,Neither,S,,,,,,,There is multiple copies of GAGE4 in this region. Each is about 7 kb.
GAGE12J,No call,,,,,,,49178515,49294598,mRNA,yes,7.88464E-05,0.000887416,Neither,S,,,,,,,
GAGE13,No call,,,,,,,49188093,49323262,mRNA,yes,6.77133E-05,0.000762113,Neither,S,,,,,,,
GAGE2E,No call,,,,,,,49188093,49204923,mRNA,yes,0,0,Neither,S,,,,,,,There is 2 copies of GAGE2E in this region. Each is around 7 kb.
GAGE8,No call,,,,,,,49188093,49373139,mRNA,yes,4.94613E-05,0.000695869,Neither,S,,,,,,,
GAGE2C,No call,,,,,,,49197562,49233491,mRNA,yes,0,0.002867096,Neither,S,,,,,,,
GAGE2D,No call,,,,,,,49197562,49223953,mRNA,yes,0,0,Neither,S,,,,,,,
GAGE2A,No call,,,,,,,49197562,49361430,mRNA,yes,5.58544E-05,0.000785801,Neither,S,,,,,,,There are multiple copies of GAGE2A in this region. Each is around 16 kb.
GAGE7,No call,,,,,,,49216633,49223953,mRNA,yes,0,0,Neither,S,,,,,,,
GAGE12I,No call,,,,,,,49216633,49342370,mRNA,yes,7.27927E-05,0.000819281,Neither,S,,,,,,,There are multiple copies of GAGE12I across this region. Each is around 10 kb.
GAGE2B,No call,,,,,,,49216633,49304144,mRNA,yes,0.000104589,0.00117715,Neither,S,,,,,,,
GAGE12F,No call,,,,,,,49217762,49233491,mRNA,yes,0,0.006548935,Neither,S,,,,,,,
GAGE12B,No call,,,,,,,49296768,49323262,mRNA,yes,0,0,Neither,S,,,,,,,There are 3 copies of GAGE12B. Each is about 10 kb
GAGE12D,No call,,,,,,,49296768,49342370,mRNA,yes,0,0,Neither,S,,,,,,,There are 5 copies of GAGE12D across this region. Each is about 8 kb.
GAGE12E,No call,,,,,,,49344540,49351917,mRNA,yes,0,0,Neither,S,,,,,,,
GAGE1,No call,,,,,,,49363615,49373139,mRNA,yes,0,0,Neither,S,,,,,,,
PAGE1,No call,,,,,,,49452053,49460596,mRNA,yes,0.002205231,0,Neither,S,,,,,,,
PAGE4,No call,,,,,,,49593905,49598570,mRNA,yes,0,0,Neither,S,,,,,,,
LOC158572,S,,,,,all F S or S+U,,49641326,49643959,ncRNA,No,0.13551998,1.1048468,Both,S,,,,,,,
USP27X,No call,,,,,too much U,,49644469,49647168,mRNA,No,0.6949357,4.1110516,Both,S,,,,,,,
CLCN5,S,,0,,S,all F S,,49687224,49863892,mRNA,No,0.07921394,0.19504516,Fibroblast Only,S,,S,,Y pseudogene,None,"NPHL2. Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis. X-linked recessive hypophosphatemic rickets. XRN.",
MIR532,No call,,,,,,,49767753,49767844,miRNA,No,0,0,Neither,S,,,,,,,
MIR188,No call,,,,,,,49768108,49768194,miRNA,No,0,0,Neither,S,,,,,,,
Mir_500,No call,,,,,,,49771257,49771345,miRNA,No,0,0,Neither,S,,,,,,,
MIR500A,No call,,,,,,,49773038,49773122,miRNA,No,0,0,Neither,S,,,,,,,
MIR362,No call,,,,,,,49773571,49773635,miRNA,No,0,0,Neither,S,,,,,,,
MIR501,No call,,,,,,,49774329,49774413,miRNA,No,0,0.30298454,Fibroblast Only,S,,,,,,,
MIR500B,No call,,,,,,,49775279,49775358,miRNA,No,0,0,Neither,S,,,,,,,
MIR660,No call,,,,,,,49777848,49777945,miRNA,No,0,0,Neither,S,,,,,,,
MIR502,No call,,,,,,,49779205,49779291,miRNA,No,0,0,Neither,S,,,,,,,
AKAP4,S,,,,S,,,49955410,49965004,mRNA,yes,0,0,Neither,S,,,,Y pseudogene,,,
CCNB3,Mostly S,,0.22,,VE,,,49969415,50094911,mRNA,No,#N/A,0.007182475,,S,,,,Y pseudogene,None,,
DGKK,S,,,,S,all F S or S+U,,50111878,50213721,mRNA,No,0.000898709,0.002022991,Neither,S,,,,,,HYSP1,
AX748273,No call,,,,,,,50331931,50333932,ncRNA,No,0,0.41164732,Fibroblast Only,S,,,,,,,
SHROOM4,Mostly S,,0,,S,S or S+U and VE and U,,50334642,50557044,mRNA,No,0.0019754,0.10352287,Fibroblast Only,S,,S,,Y pseudogene,KIAA1202 ,SDSX,
BMP15,No call,,,,,,,50653734,50659641,mRNA,No,0,0,Neither,S,,,,,,ODG2,
NUDT10,S,,0,,S,,,51075082,51080377,mRNA,No,0,0.60785705,Fibroblast Only,S,,S,,,DIPP3 beta ,,
NUDT11,S,,0,,,,,51232862,51239459,mRNA,No,0.00138721,5.0508137,Fibroblast Only,S,,S,,,DIPP3 alpha ,,
TRNA_Pseudo,No call,,,,,,,51306111,51306183,tRNA,No,0,0,Neither,S,,,,,,,
CENPVL1,No call,,,,,,,51424145,51425447,ncRNA,No,0,0,Neither,S,,,,,,,
CENPVL1,No call,,,,,,,51453924,51455226,ncRNA,No,0,0,Neither,S,,,,,,,
GSPT2,S,,0,,,,,51486480,51489326,mRNA,No,6.53267,8.584562,Both,S,,S,,Y pseudogene,None,,
MAGED1,S,,,,S,too much U,,51546154,51645450,mRNA,yes,2.0394886,1.5709445,Both,S,,,,Y pseudogene,,,
BC137157,No call,,,,,,,51793955,51797392,mRNA,No,0,0,Neither,S,,,,,,,
MAGED4B,No call,,,,,,,51804922,51812368,mRNA,yes,0,0.33545154,Fibroblast Only,S,,,,,,,
SNORA11E,No call,,,,,,,51806442,51806569,snoRNA,No,0,0,Neither,S,,,,,,,
MAGED4,No call,,,,,,,51927918,51935364,mRNA,No,#N/A,-,,S,,,,,,,
MAGED4B,No call,,,,,,,51927918,51935364,mRNA,yes,0,0.33545154,Fibroblast Only,S,,,,,,,
SNORA11D,No call,,,,,,,51933717,51933844,snoRNA,No,0,0,Neither,S,,,,,,,
AK096379,No call,,,,,,,51942921,51946358,mRNA,No,0,0,Neither,S,,,,,,,
BC094793,No call,,,,,,,52108069,52111918,ncRNA,No,0,0,Neither,S,,,,,,,
XAGE2,No call,,,,,,,52112077,52387096,mRNA,yes,0,0,Neither,S,,,,,,,"There is 2 copies of XAGE2 here, on opposite strands. Each is around 7 kb."
XAGE1D,No call,,,,,,,52238809,52546197,mRNA,yes,2.9776E-05,0.000167564,Neither,S,,,,,,,There is multiple copies of XAGE1D on both strands here. Each is around 5 kb.
BC094793,No call,,,,,,,52387255,52391104,ncRNA,No,0,0,Neither,S,,,,,,,
XAGE1C,No call,,,,,,,52541053,52545988,ncRNA,yes,0,0,Neither,S,,,,,,,
SSX8,No call,,,,,,,52651984,52662998,ncRNA,yes,0.001661881,0.004676112,Neither,S,,,,,,,
SSX7,No call,,,,,,,52673110,52683950,mRNA,yes,0.000844277,0.004751165,Neither,S,,,,,,,
SSX2,No call,,,,,,,52725945,52790617,mRNA,yes,0.000141524,0,Neither,S,,,,,,Synovial Sarcoma,"There are 2 copies of SSX2 here, on opposite strands. Each is around 10 kb long"
SPANXN5,No call,,,,,,,52825185,52826388,mRNA,yes,0,0.04278021,Neither,S,,,,,,,
XAGE5,No call,,,,,,,52841227,52847322,mRNA,yes,0,0,Neither,S,,,,,,,
XAGE3,No call,,,,,,,52891557,52897119,mRNA,yes,0,0,Neither,S,,,,,,,
FAM156A,S,,0,,,,,52926321,52937585,mRNA,No,0.101562485,0.5075294,Both,S,,,,,"TMEM29~, PRO0659, DXS6672E",,
FAM156B,No call,,,,,,,52926425,52937585,mRNA,No,0.10250886,0.5099511,Both,S,,,,,,,
FAM156B,No call,,,,,,,52976463,52985953,mRNA,No,0.10250886,0.5099511,Both,S,,,,,,,
FAM156A,S,,0,,,all F S or S+U,,52976463,53024651,mRNA,No,0.101562485,0.5075294,Both,S,,,,,"TMEM29~, PRO0659, DXS6672E",,
GPR173,Mostly S,,0,,VE,,,53078505,53109796,mRNA,No,0.017842308,2.300318,Fibroblast Only,S,,S,,Y pseudogene,SREB3 ,,
TSPYL2,S,,0,,S,all F S,,53111541,53117728,mRNA,yes,12.44238,14.495812,Both,S,S,S,,Y homolog,"SE20-4 , TSPX",,
DQ590295,No call,,,,,,,53172141,53172180,piRNA,No,0.68646085,3.2192109,Both,Boundary,,,,,,,
KDM5C,Mostly E,,1,,VE,all F E,,53220502,53254604,mRNA,No,6.903457,6.527721,Both,E,E,E,Female Bias,Y homolog,"JARID1C, A009X24, SMCX ",MRXSCJ,
