Gene Name,Balaton consensus calls,,Carrel hybrids,Carrel SNPs,Cotton AI,Cotton DNAm,,Transcript Start,Transcript Stop,Transcript Type,CTAG gene,Expression in GM12878,Expression in IMR90,Expressed in Either Tissue,Domain categories,Results from other literature,Lister mCH,Sex differences in expression,Y homology,alternate gene names,Related Diseases,Comments
MXRA5,Mostly E,,0.78,,VE,all F E or E+U,,3226608,3264684,mRNA,No,0.001442258,0.6580964,Fibroblast Only,E,,,,Y pseudogene,DKFZP564I1922,,
PRKX,E,,0.78,,E,all F E or E+U,,3522383,3631675,mRNA,No,0.5533911,0.53537166,Both,E,,,,Y pseudogene,None,,
LOC389906,No call,,,,,,,3735575,3761935,ncRNA,No,1.1378082,2.1532235,Both,E,,,,,,,
TRNA_Ile,No call,,,,,,,3756417,3756491,tRNA,No,0.12203748,0.34338248,Both,E,,,,,,,
AK000470,No call,,,,,,,3771064,3781615,mRNA,No,0.10322067,0.39782515,Both,E,,,,,,,
AK097803,No call,,,,,,,3782438,3799884,ncRNA,No,0.19830129,0.3011264,Both,E,,,,,,,
TRNA_Ile,No call,,,,,,,3794841,3794915,tRNA,No,0.12203748,0.34338248,Both,E,,,,,,,
AK000470,No call,,,,,,,3809488,3820041,mRNA,No,0.10322067,0.39782515,Both,E,,,,,,,
TRNA_Ile,No call,,,,,,,3833270,3833344,tRNA,No,0.12203748,0.34338248,Both,E,,,,,,,
NLGN4X,Mostly E,,1,,VE,all F E,,5808082,6145888,mRNA,No,0.000785749,0.002439612,Neither,E,,E,,Y homolog,KIAA1260,"AUTSX2, ASPGX2",
MIR4770,No call,,,,,,,6301946,6302004,miRNA,No,0,0,Neither,E,,,,,,,
VCX3A,No call,,,,,,,6451658,6453159,mRNA,No,0,0,Neither,E,,,,,,,
VCX2,No call,,,,,,,6451688,6453159,mRNA,No,0,0,Neither,E,,,,,,,
HDHD1,E,,0.89,,E,all F E or E+U,,6966960,7066231,mRNA,No,0.93508554,0.5966786,Both,E,,E,Female Bias,,"HDHD1A, GS1",,
STS,E,,1,E,E,all F E or E+U,,7065292,7272682,mRNA,No,0.58260125,0.23594083,Both,E,E,E,,Y pseudogene,Hs.186498,XLI,
MIR4767,No call,,,,,,,7065900,7065978,miRNA,No,3.128176,0.6519921,Both,E,,,,,,,
VCX,No call,,,,,,,7810302,7812184,mRNA,No,0.01458228,0,Neither,E,,,,,,,
PNPLA4,E,,1,,E,all F E or E+U,,7866803,7895780,mRNA,No,0.41029406,0.833631,Both,E,,E,,Y pseudogene,"GS2, DXS1283E",,
MIR651,No call,,,,,,,8095005,8095102,miRNA,No,0,0,Neither,E,,,,,,,
VCX2,No call,,,,,,,8137984,8139308,mRNA,No,0,0,Neither,E,,,,,,,
VCX3B,No call,,,,,,,8432870,8434551,mRNA,No,0.010883248,0.030622695,Neither,E,,,,,,,
VCX3A,No call,,,,,,,8433345,8434346,mRNA,No,0,0,Neither,E,,,,,,,
VCX-8r,No call,,,,,,,8434331,8434546,mRNA,No,0,0,Neither,E,,,,,,,
KAL1,Mostly E,,1,,VE,all F E or E+U,,8496914,8700227,mRNA,No,0.002070833,0.009246875,Neither,E,,E,,Y pseudogene,ADMLX,Kallmann syndrome 1,
FAM9A,No call,,,,,,,8758836,8769424,mRNA,No,0.00086437,0.004864234,Neither,Boundary,,,,,,,
FAM9B,No call,,,,,,,8993036,9001351,mRNA,No,0.001100627,0,Neither,Boundary,,,,,,,
DQ595787,No call,,,,,,,9373384,9382288,piRNA,No,0.001027828,0.04048867,Neither,Boundary,,,,,,,There are  10 copies of DQ595787 in this region. Each is about 60 bp.
DQ597811,No call,,,,,,,9374425,9382251,piRNA,No,0.00116939,0.03290365,Neither,Boundary,,,,,,,There are 3 copis of DQ597811 in this region. Each is about 40 bp.
DQ580770,No call,,,,,,,9375782,9380608,piRNA,No,0,0.04801806,Neither,Boundary,,,,,,,There are 5 copies of DQ580770 is this region. Each is about 50 bp
TBL1X,Discordant,,0.78,S,S,all F E,,9431334,9687780,mRNA,No,0.26768136,0.5473162,Both,Boundary,,,,Y homolog,None,,
GPR143,Mostly S,,0.78,S,S,,,9693452,9734005,mRNA,No,0.015572914,0.019051403,Neither,S,,,,Y pseudogene,OA1,"XLOA, NYS6",
SHROOM2,Mostly VE,,,,VE,E or E+U and VE and U,,9754495,9917481,mRNA,No,0.038411178,0.47592816,Fibroblast Only,S,,,,Y pseudogene,,,
LOC100288814,No call,,,,,,,9935397,9936042,mRNA,No,0,0.3189311,Fibroblast Only,S,,,,,,,
WWC3,Mostly S,,0.111111111,,S,S or S+U and VE and U,,9983794,10112518,mRNA,No,0.36440596,1.2410185,Both,S,S,,,Y pseudogene,KIAA1280,,
CLCN4,Mostly S,,0.56,S,S,too much U,,10124984,10205699,mRNA,No,0.005442972,0.29609272,Fibroblast Only,S,,,,,23809,,
MID1,Mostly S,,0.11,,VE,too much U,,10413349,10588674,mRNA,No,0.005690293,0.9135107,Fibroblast Only,S,S,,,Y pseudogene,"FXY, Hs.122516","XLOS, Tracheoesophageal fistula",
U6,No call,,,,,,,10550856,10550959,snRNA,No,0,0.2476316,Fibroblast Only,S,,,,,,,
Mir_652,No call,,,,,,,10939960,10940057,miRNA,No,0,0,Neither,S,,,,,,,
AY660577,No call,,,,,,,10981490,11125110,mRNA,No,0.0312909,0.019904187,Neither,S,,,,,,,
AY660578,S,,,,,all F S or S+U,,10988010,11129258,mRNA,No,0.032658756,0.021332407,Neither,S,,,,,,,
HCCS,S,,0,,,all F S,,11129405,11141204,mRNA,No,1.3861079,4.0987644,Both,S,,S,,,,MCOPS7,
ARHGAP6,Mostly S,,0.11,E,S,S or S+U and VE and U,,11155662,11683821,mRNA,No,0.047725767,0.028769076,Neither,S,,,,Y pseudogene,,,
AMELX,No call,,,,,,,11311532,11318881,mRNA,No,0.012452805,0.007007806,Neither,S,S,,,Y homolog,,AI1E,
Mir_584,No call,,,,,,,11615063,11615191,miRNA,No,0.21285607,0,Lymphoblast only,S,,,,,,,
